,tweet_id,retweet_count,favorite_count
1052,nan,4319,10812
1053,nan,2266,7457
1054,nan,1547,4743
1055,nan,1783,5661
1056,nan,1698,4982
1057,nan,3144,8945
1058,nan,937,4026
1059,nan,3650,9631
1060,nan,6247,10997
1061,nan,3520,10342
1062,nan,3154,7018
1063,nan,1062,3736
1064,nan,888,3101
1065,nan,7724,19881
1066,nan,9220,20648
1067,nan,495,2727
1068,nan,967,3610
1069,nan,2220,7335
1070,nan,6719,21898
1071,nan,1217,4443
1072,nan,966,4138
1073,nan,1547,4185
1074,nan,1876,5897
1075,nan,24319,43694
1076,nan,3309,7887
1077,nan,52360,75163
1078,nan,6,115
1079,nan,1283,4127
1080,nan,917,3661
1081,nan,1759,5575
1082,nan,955,3599
1083,nan,1360,4727
1084,nan,3828,9635
1085,nan,748,2768
1086,nan,2006,5757
1087,nan,3904,10943
1088,nan,1509,5528
1089,nan,5048,11302
1090,nan,907,3953
1091,nan,8329,16040
1092,nan,1972,4736
1093,nan,8407,19450
1094,nan,1408,4367
1095,nan,3115,8901
1096,nan,3355,8652
1097,nan,1283,3934
1098,nan,1237,4397
1099,nan,2659,6776
1100,nan,4707,9629
1101,nan,993,3675
1102,nan,1092,3428
1103,nan,572,2993
1104,nan,7102,13745
1105,nan,608,2742
1106,nan,451,1646
1107,nan,881,3926
1108,nan,1141,4015
1109,nan,1065,3438
1110,nan,1451,4605
1111,nan,17621,44619
1112,nan,599,2671
1113,nan,1003,3855
1114,nan,868,4016
1115,nan,2838,8832
1116,nan,6154,16324
1117,nan,1090,3798
1118,nan,1434,4196
1119,nan,2234,6682
1120,nan,2435,5407
1121,nan,1176,3809
1122,nan,1182,4180
1123,nan,2172,5339
1124,nan,1268,4396
1125,nan,431,1856
1126,nan,1390,4358
1127,nan,2586,6340
1128,nan,370,2054
1129,nan,917,3460
1130,nan,1911,5090
1131,nan,757,3032
1132,nan,1169,3620
1133,nan,2269,5383
1134,nan,1075,3999
1135,nan,1328,4722
1136,nan,1872,4953
1137,nan,1219,4479
1138,nan,720,3206
1139,nan,1962,6431
1140,nan,1379,4900
1141,nan,834,3623
1142,nan,920,3324
1143,nan,1540,4209
1144,nan,1490,3983
1145,nan,2738,7496
1146,nan,1677,4195
1147,nan,1124,3882
1148,nan,1302,4811
1149,nan,2970,7691
1150,nan,1527,4537
1151,nan,2009,5646
1152,nan,703,1541
1153,nan,1462,4040
1154,nan,725,2593
1155,nan,1847,5800
1156,nan,1984,4738
1157,nan,620,2901
1158,nan,1790,4561
1159,nan,1374,4236
1160,nan,3347,8435
1161,nan,1011,3291
1162,nan,2110,5761
1163,nan,1764,4493
1164,nan,1831,5393
1165,nan,2124,5086
1166,nan,686,2748
1167,nan,866,3400
1168,nan,760,2702
1169,nan,1681,4503
1170,nan,2840,6974
1171,nan,1098,3131
1172,nan,1268,4229
1173,nan,2253,5332
1174,nan,1979,5281
1175,nan,1645,4974
1176,nan,2192,5515
1177,nan,827,3022
1178,nan,1403,4822
1179,nan,1078,3711
1180,nan,1231,3818
1181,nan,1973,5720
1182,nan,9126,20697
1183,nan,542,2669
1184,nan,1137,2730
1185,nan,602,2846
1186,nan,1685,5320
1187,nan,565,2115
1188,nan,1127,4217
1189,nan,670,2660
1190,nan,1272,3170
1191,nan,2069,6281
1192,nan,510,1748
1193,nan,945,3446
1194,nan,2135,6826
1195,nan,1102,3583
1196,nan,1317,4627
1197,nan,1474,5204
1198,nan,475,1339
1199,nan,6643,14327
1200,nan,247,2574
1201,nan,1225,3041
1202,nan,1935,5272
1203,nan,987,3485
1204,nan,1596,4085
1205,nan,1920,5093
1206,nan,634,3055
1207,nan,1454,4257
1208,nan,1813,4719
1209,nan,1772,5955
1210,nan,768,3294
1211,nan,736,2630
1212,nan,2110,5578
1213,nan,1392,4550
1214,nan,1166,4094
1215,nan,4816,8028
1216,nan,1595,4503
1217,nan,1122,3571
1218,nan,1038,3938
1219,nan,1313,2962
1220,nan,808,3281
1221,nan,940,3570
1222,nan,990,2480
1223,nan,1569,4673
1224,nan,869,3564
1225,nan,616,2078
1226,nan,829,3062
1227,nan,1541,5308
1228,nan,1440,4802
1229,nan,3183,7854
1230,nan,1630,4851
1231,nan,7602,20378
1232,nan,5616,13474
1233,nan,1367,4531
1234,nan,1756,5799
1235,nan,26,269
1236,nan,1172,4144
1237,nan,1016,3211
1238,nan,556,3531
1239,nan,700,2451
1240,nan,138,0
1241,nan,2601,8776
1242,nan,1101,3095
1243,nan,4653,9756
1244,nan,20500,35865
1245,nan,1037,4228
1246,nan,1287,3996
1247,nan,819,3596
1248,nan,710,3275
1249,nan,1561,4960
1250,nan,779,2775
1251,nan,606,2937
1252,nan,636,2529
1253,nan,2624,5227
1254,nan,2107,4968
1255,nan,833,2574
1256,nan,580,2308
1257,nan,1425,4945
1258,nan,1257,2613
1259,nan,1006,3153
1260,nan,1008,3017
1261,nan,2233,5999
